variable,group,value
"Cadbury, Ruth",DIT,2
"Cadbury, Ruth",DWP,7
"Cadbury, Ruth",FCO,2
"Cadbury, Ruth",MHCLG,6
"Cadbury, Ruth",Minister for Women and Equalities,2
"Cadbury, Ruth",Ministry of Justice,14
"Cadbury, Ruth",Prime Minister,6
"Cadbury, Ruth",Treasury,4
"Cameron, Lisa",BEIS,1
"Cameron, Lisa",DEFRA,1
"Cameron, Lisa",Department for Transport,2
"Cameron, Lisa",Department of Health,1
"Cameron, Lisa",DeXEU,2
"Cameron, Lisa",DfID,4
"Cameron, Lisa",DHSC,5
"Cameron, Lisa",DIT,2
"Cameron, Lisa",DWP,1
"Cameron, Lisa",FCO,2
"Cameron, Lisa",Minister for Women and Equalities,3
"Cameron, Lisa",Ministry of Justice,2
"Cameron, Lisa",Prime Minister,2
"Cameron, Lisa",Treasury,2
"Campbell, Gregory",BEIS,10
"Campbell, Gregory",Cabinet Office,11
"Campbell, Gregory",DDCMS,5
"Campbell, Gregory",DEFRA,2
"Campbell, Gregory",Department for Transport,3
"Campbell, Gregory",Department of Health,1
"Campbell, Gregory",DeXEU,7
"Campbell, Gregory",DfID,11
"Campbell, Gregory",DHSC,5
"Campbell, Gregory",DIT,2
"Campbell, Gregory",FCO,8
"Campbell, Gregory",Minister for Women and Equalities,1
"Campbell, Gregory",Ministry of Justice,8
"Campbell, Gregory",Northern Ireland Office,11
"Campbell, Gregory",Prime Minister,6
"Campbell, Gregory",Treasury,13
"Campbell, Ronnie",DeXEU,1
"Campbell, Ronnie",FCO,2
"Campbell, Ronnie",Prime Minister,8
"Carden, Dan",BEIS,2
"Carden, Dan",DCLG,2
"Carden, Dan",Department for Transport,8
"Carden, Dan",DeXEU,2
"Carden, Dan",DfE,6
"Carden, Dan",DfID,19
"Carden, Dan",DHSC,4
"Carden, Dan",DWP,2
"Carden, Dan",FCO,5
"Carden, Dan",Home Office,4
"Carden, Dan",Ministry of Defence,4
"Carden, Dan",Ministry of Justice,10
"Carden, Dan",Prime Minister,10
"Carmichael, Alistair",BEIS,4
"Carmichael, Alistair",DCMS,4
"Carmichael, Alistair",DDCMS,11
"Carmichael, Alistair",DEFRA,12
"Carmichael, Alistair",Department for Transport,4
"Carmichael, Alistair",Department of Health,2
"Carmichael, Alistair",DeXEU,5
"Carmichael, Alistair",DfID,8
"Carmichael, Alistair",DHSC,3
"Carmichael, Alistair",DIT,5
"Carmichael, Alistair",DWP,8
"Carmichael, Alistair",FCO,1
"Carmichael, Alistair",Home Office,5
"Carmichael, Alistair",Minister for Women and Equalities,2
"Carmichael, Alistair",Ministry of Defence,6
"Carmichael, Alistair",Northern Ireland Office,2
"Carmichael, Alistair",Prime Minister,12
"Carmichael, Alistair",Scotland Office,12
"Carmichael, Alistair",Treasury,5
"Cartlidge, James",BEIS,8
"Cartlidge, James",Cabinet Office,2
"Cartlidge, James",DDCMS,2
"Cartlidge, James",DEFRA,2
"Cartlidge, James",DeXEU,2
"Cartlidge, James",DfE,6
"Cartlidge, James",DHSC,5
"Cartlidge, James",DWP,5
"Cartlidge, James",Home Office,2
"Cartlidge, James",Ministry of Defence,2
"Cartlidge, James",Ministry of Justice,5
"Cartlidge, James",Prime Minister,2
"Cartlidge, James",Treasury,9
"Cash, William",Attorney General,2
"Cash, William",DfID,1
"Cash, William",Prime Minister,5
"Caulfield, Maria",BEIS,7
"Caulfield, Maria",DEFRA,11
"Caulfield, Maria",Department for Transport,5
"Caulfield, Maria",Department of Health,3
"Caulfield, Maria",DeXEU,2
"Caulfield, Maria",DfE,6
"Caulfield, Maria",DfID,1
"Caulfield, Maria",DHSC,6
"Caulfield, Maria",DIT,2
"Caulfield, Maria",DWP,3
"Caulfield, Maria",FCO,5
"Caulfield, Maria",Home Office,4
"Caulfield, Maria",MHCLG,4
"Caulfield, Maria",Minister for Women and Equalities,3
"Caulfield, Maria",Ministry of Defence,2
"Caulfield, Maria",Ministry of Justice,11
"Caulfield, Maria",Northern Ireland Office,7
"Caulfield, Maria",Prime Minister,11
"Caulfield, Maria",Treasury,4
"Chalk, Alex",Attorney General,9
"Chalk, Alex",BEIS,3
"Chalk, Alex",Cabinet Office,3
"Chalk, Alex",DCLG,4
"Chalk, Alex",DEFRA,6
"Chalk, Alex",Department for Transport,2
"Chalk, Alex",Department of Health,1
"Chalk, Alex",DeXEU,6
"Chalk, Alex",DfE,3
"Chalk, Alex",DfID,3
"Chalk, Alex",DHSC,4
"Chalk, Alex",DIT,2
"Chalk, Alex",DWP,4
"Chalk, Alex",FCO,5
"Chalk, Alex",MHCLG,1
"Chalk, Alex",Minister for Women and Equalities,2
"Chalk, Alex",Ministry of Defence,4
"Chalk, Alex",Ministry of Justice,11
"Chalk, Alex",Northern Ireland Office,2
"Chalk, Alex",Prime Minister,13
"Chalk, Alex",Treasury,17
"Champion, Sarah",DfE,2
"Champion, Sarah",Home Office,5
"Champion, Sarah",Minister for Women and Equalities,1
"Champion, Sarah",Ministry of Justice,7
"Champion, Sarah",Treasury,2
"Chapman, Douglas",BEIS,2
"Chapman, Douglas",DEFRA,4
"Chapman, Douglas",Department for Transport,7
"Chapman, Douglas",DeXEU,1
"Chapman, Douglas",DfE,2
"Chapman, Douglas",DHSC,2
"Chapman, Douglas",DIT,4
"Chapman, Douglas",FCO,2
"Chapman, Douglas",Minister for Women and Equalities,2
"Chapman, Douglas",Ministry of Defence,8
"Chapman, Douglas",Northern Ireland Office,3
"Chapman, Douglas",Prime Minister,4
"Chapman, Douglas",Scotland Office,6
"Chapman, Douglas",Treasury,2
"Chapman, Douglas",Wales Office,4
"Chapman, Jenny",BEIS,2
"Chapman, Jenny",Department of Health,1
"Chapman, Jenny",DeXEU,21
"Chapman, Jenny",DfE,1
"Chapman, Jenny",DHSC,2
"Chapman, Jenny",DWP,1
"Chapman, Jenny",MHCLG,2
"Chapman, Jenny",Ministry of Defence,3
"Chapman, Jenny",Ministry of Justice,4
"Chapman, Jenny",Prime Minister,4
"Chapman, Jenny",Treasury,1
"Charalambous, Bambos",Attorney General,2
"Charalambous, Bambos",BEIS,2
"Charalambous, Bambos",Cabinet Office,10
"Charalambous, Bambos",DDCMS,2
"Charalambous, Bambos",DEFRA,4
"Charalambous, Bambos",Department for Transport,2
"Charalambous, Bambos",DeXEU,4
"Charalambous, Bambos",DfE,7
"Charalambous, Bambos",DfID,4
"Charalambous, Bambos",DHSC,3
"Charalambous, Bambos",DIT,4
"Charalambous, Bambos",DWP,2
"Charalambous, Bambos",FCO,7
"Charalambous, Bambos",Home Office,5
"Charalambous, Bambos",MHCLG,8
"Charalambous, Bambos",Minister for Women and Equalities,6
"Charalambous, Bambos",Ministry of Defence,8
"Charalambous, Bambos",Ministry of Justice,9
"Charalambous, Bambos",Prime Minister,3
"Charalambous, Bambos",Scotland Office,4
"Charalambous, Bambos",Treasury,7
"Charalambous, Bambos",Wales Office,8
"Cherry, Joanna",Attorney General,8
"Cherry, Joanna",DDCMS,2
"Cherry, Joanna",Department for Transport,1
"Cherry, Joanna",DeXEU,6
"Cherry, Joanna",DfE,4
"Cherry, Joanna",DIT,2
"Cherry, Joanna",DWP,1
"Cherry, Joanna",FCO,2
"Cherry, Joanna",Home Office,28
"Cherry, Joanna",Minister for Women and Equalities,1
"Cherry, Joanna",Ministry of Justice,30
"Cherry, Joanna",Prime Minister,12
"Cherry, Joanna",Scotland Office,6
"Cherry, Joanna",Treasury,2
"Cherry, Joanna",Wales Office,2
"Chishti, Rehman",Attorney General,2
"Chishti, Rehman",BEIS,1
"Chishti, Rehman",DDCMS,1
"Chishti, Rehman",DEFRA,3
"Chishti, Rehman",Department for Transport,2
"Chishti, Rehman",DHSC,1
"Chishti, Rehman",DIT,10
"Chishti, Rehman",FCO,2
"Chishti, Rehman",Home Office,4
"Chishti, Rehman",Ministry of Defence,6
"Chishti, Rehman",Northern Ireland Office,2
"Chishti, Rehman",Prime Minister,6
"Chishti, Rehman",Treasury,2
"Chope, Christopher",DeXEU,2
"Chope, Christopher",DHSC,1
"Chope, Christopher",Home Office,1
"Chope, Christopher",Prime Minister,2
"Chope, Christopher",Treasury,1
"Churchill, Jo",Attorney General,2
"Churchill, Jo",BEIS,6
"Churchill, Jo",DCLG,1
"Churchill, Jo",DEFRA,2
"Churchill, Jo",DeXEU,2
"Churchill, Jo",DfE,1
"Churchill, Jo",DIT,3
"Churchill, Jo",DWP,2
"Churchill, Jo",Ministry of Defence,2
"Churchill, Jo",Northern Ireland Office,6
"Clark, Colin",Attorney General,2
"Clark, Colin",BEIS,14
"Clark, Colin",Cabinet Office,3
"Clark, Colin",DDCMS,2
"Clark, Colin",DEFRA,9
"Clark, Colin",Department for Transport,2
"Clark, Colin",Department of Health,2
"Clark, Colin",DeXEU,2
"Clark, Colin",DfE,4
"Clark, Colin",DfID,2
"Clark, Colin",DHSC,2
"Clark, Colin",DIT,4
"Clark, Colin",DWP,3
"Clark, Colin",FCO,2
"Clark, Colin",Home Office,2
"Clark, Colin",Minister for Women and Equalities,2
"Clark, Colin",Ministry of Defence,2
"Clark, Colin",Ministry of Justice,4
"Clark, Colin",Prime Minister,11
"Clark, Colin",Scotland Office,7
"Clark, Colin",Treasury,6
"Clark, Colin",Wales Office,1
"Clark, Greg",DeXEU,1
"Clark, Greg",Treasury,1
"Clarke, Kenneth",Prime Minister,13
"Clarke, Kenneth",Wales Office,1
"Clarke, Simon",Attorney General,2
"Clarke, Simon",BEIS,3
"Clarke, Simon",Cabinet Office,6
"Clarke, Simon",DEFRA,2
"Clarke, Simon",Department of Health,2
"Clarke, Simon",DeXEU,8
"Clarke, Simon",DfE,3
"Clarke, Simon",DHSC,1
"Clarke, Simon",DWP,3
"Clarke, Simon",Home Office,3
"Clarke, Simon",MHCLG,2
"Clarke, Simon",Minister for Women and Equalities,1
"Clarke, Simon",Ministry of Defence,1
"Clarke, Simon",Prime Minister,9
"Clarke, Simon",Treasury,3
"Cleverly, James",Attorney General,4
"Cleverly, James",BEIS,1
"Cleverly, James",Cabinet Office,4
"Cleverly, James",Department for Transport,4
"Cleverly, James",DHSC,2
"Cleverly, James",DIT,2
"Cleverly, James",DWP,2
"Cleverly, James",FCO,4
"Cleverly, James",Home Office,2
"Cleverly, James",Minister for Women and Equalities,4
"Cleverly, James",Ministry of Defence,3
"Cleverly, James",Ministry of Justice,2
"Cleverly, James",Northern Ireland Office,2
"Cleverly, James",Prime Minister,6
"Cleverly, James",Treasury,2
"Clifton-Brown, Geoffrey",BEIS,1
"Clifton-Brown, Geoffrey",Department for Transport,7
"Clifton-Brown, Geoffrey",DeXEU,3
"Clifton-Brown, Geoffrey",DfE,1
"Clifton-Brown, Geoffrey",DHSC,1
"Clifton-Brown, Geoffrey",DIT,5
"Clifton-Brown, Geoffrey",FCO,3
"Clifton-Brown, Geoffrey",MHCLG,1
"Clifton-Brown, Geoffrey",Ministry of Defence,1
"Clifton-Brown, Geoffrey",Ministry of Justice,1
"Clifton-Brown, Geoffrey",Prime Minister,4
"Clifton-Brown, Geoffrey",Treasury,2
"Clwyd, Ann",DfID,5
"Clwyd, Ann",DHSC,1
"Clwyd, Ann",FCO,14
"Clwyd, Ann",Ministry of Justice,1
"Clwyd, Ann",Prime Minister,2
"Clwyd, Ann",Wales Office,7
"Coaker, Vernon",BEIS,3
"Coaker, Vernon",Cabinet Office,1
"Coaker, Vernon",DCLG,1
"Coaker, Vernon",DDCMS,1
"Coaker, Vernon",DEFRA,1
"Coaker, Vernon",Department for Transport,2
"Coaker, Vernon",DeXEU,2
"Coaker, Vernon",DfE,1
"Coaker, Vernon",DHSC,2
"Coaker, Vernon",FCO,4
"Coaker, Vernon",Home Office,1
"Coaker, Vernon",Ministry of Defence,3
"Coaker, Vernon",Ministry of Justice,2
"Coaker, Vernon",Northern Ireland Office,5
"Coaker, Vernon",Prime Minister,6
"Coaker, Vernon",Treasury,1
"Coaker, Vernon",Wales Office,2
"Coffey, Ann",DfE,1
"Coffey, Ann",Ministry of Justice,1
"Collins, Damian",Attorney General,2
"Collins, Damian",DCMS,1
"Collins, Damian",DDCMS,7
"Collins, Damian",Prime Minister,1
"Cooper, Julie",Cabinet Office,1
"Cooper, Julie",Department of Health,3
"Cooper, Julie",DfID,1
"Cooper, Julie",DHSC,10
"Cooper, Julie",FCO,2
"Cooper, Julie",Home Office,3
"Cooper, Julie",MHCLG,2
"Cooper, Julie",Prime Minister,12
"Cooper, Rosie",BEIS,6
"Cooper, Rosie",Cabinet Office,2
"Cooper, Rosie",DDCMS,2
"Cooper, Rosie",DEFRA,2
"Cooper, Rosie",Department of Health,1
"Cooper, Rosie",DfE,6
"Cooper, Rosie",DHSC,5
"Cooper, Rosie",DWP,2
"Cooper, Rosie",FCO,4
"Cooper, Rosie",Home Office,2
"Cooper, Rosie",Minister for Women and Equalities,4
"Cooper, Rosie",Ministry of Justice,4
"Cooper, Rosie",Northern Ireland Office,2
"Cooper, Rosie",Prime Minister,9
"Cooper, Rosie",Scotland Office,2
"Cooper, Rosie",Wales Office,2
"Cooper, Yvette",DfE,2
"Cooper, Yvette",DHSC,2
"Cooper, Yvette",DWP,3
"Cooper, Yvette",Home Office,15
"Cooper, Yvette",MHCLG,1
"Cooper, Yvette",Prime Minister,3
"Cooper, Yvette",Wales Office,1
"Corbyn, Jeremy",Prime Minister,438
"Costa, Alberto",Cabinet Office,2
"Costa, Alberto",DfE,1
"Costa, Alberto",DIT,4
"Costa, Alberto",Home Office,3
"Costa, Alberto",Minister for Women and Equalities,1
"Costa, Alberto",Ministry of Defence,1
"Costa, Alberto",Ministry of Justice,2
"Costa, Alberto",Prime Minister,12
"Costa, Alberto",Treasury,2
"Courts, Robert",BEIS,1
"Courts, Robert",DDCMS,6
"Courts, Robert",DEFRA,14
"Courts, Robert",Department for Transport,13
"Courts, Robert",DeXEU,5
"Courts, Robert",DfE,7
"Courts, Robert",DfID,6
"Courts, Robert",DHSC,4
"Courts, Robert",DIT,2
"Courts, Robert",DWP,4
"Courts, Robert",FCO,6
"Courts, Robert",HM Household,2
"Courts, Robert",Home Office,8
"Courts, Robert",MHCLG,15
"Courts, Robert",Ministry of Defence,16
"Courts, Robert",Ministry of Justice,6
"Courts, Robert",Northern Ireland Office,3
"Courts, Robert",Prime Minister,6
"Courts, Robert",Treasury,14
"Courts, Robert",Wales Office,1
"Cowan, Ronnie",BEIS,3
"Cowan, Ronnie",DDCMS,3
"Cowan, Ronnie",Department for Transport,4
"Cowan, Ronnie",Department of Health,2
"Cowan, Ronnie",DeXEU,6
"Cowan, Ronnie",DHSC,6
"Cowan, Ronnie",DIT,2
"Cowan, Ronnie",DWP,5
"Cowan, Ronnie",FCO,2
"Cowan, Ronnie",Home Office,4
"Cowan, Ronnie",Ministry of Defence,4
"Cowan, Ronnie",Ministry of Justice,2
"Cowan, Ronnie",Northern Ireland Office,1
"Cowan, Ronnie",Prime Minister,6
"Cowan, Ronnie",Scotland Office,4
"Cowan, Ronnie",Treasury,2
"Coyle, Neil",DDCMS,4
"Coyle, Neil",DfE,2
"Coyle, Neil",DHSC,4
"Coyle, Neil",DWP,5
"Coyle, Neil",FCO,10
"Coyle, Neil",Home Office,4
"Coyle, Neil",MHCLG,4
"Coyle, Neil",Ministry of Justice,2
"Coyle, Neil",Prime Minister,2
"Coyle, Neil",Treasury,4
"Crabb, Stephen",BEIS,7
"Crabb, Stephen",DDCMS,4
"Crabb, Stephen",DEFRA,2
"Crabb, Stephen",Department for Transport,2
"Crabb, Stephen",DeXEU,4
"Crabb, Stephen",DfE,1
"Crabb, Stephen",DfID,11
"Crabb, Stephen",DHSC,4
"Crabb, Stephen",DIT,1
"Crabb, Stephen",DWP,3
"Crabb, Stephen",FCO,15
"Crabb, Stephen",Home Office,1
"Crabb, Stephen",Ministry of Defence,2
"Crabb, Stephen",Ministry of Justice,4
"Crabb, Stephen",Prime Minister,3
"Crabb, Stephen",Treasury,5
"Crabb, Stephen",Wales Office,10
"Crausby, David",DDCMS,2
"Crausby, David",Prime Minister,12
"Crawley, Angela",BEIS,2
"Crawley, Angela",Cabinet Office,2
"Crawley, Angela",Department for Transport,2
"Crawley, Angela",DeXEU,2
"Crawley, Angela",DfID,2
"Crawley, Angela",Home Office,2
"Crawley, Angela",House of Commons Commission,2
"Crawley, Angela",Minister for Women and Equalities,14
"Crawley, Angela",Northern Ireland Office,2
"Crawley, Angela",Prime Minister,4
"Crawley, Angela",Scotland Office,6
"Crawley, Angela",Wales Office,6
"Creagh, Mary",Attorney General,1
"Creagh, Mary",BEIS,3
"Creagh, Mary",DDCMS,6
"Creagh, Mary",DEFRA,14
"Creagh, Mary",Department for Transport,4
"Creagh, Mary",DeXEU,1
"Creagh, Mary",DfE,3
"Creagh, Mary",DfID,2
"Creagh, Mary",DWP,4
"Creagh, Mary",Home Office,5
"Creagh, Mary",MHCLG,2
"Creagh, Mary",Ministry of Defence,6
"Creagh, Mary",Prime Minister,10
"Creagh, Mary",Treasury,2
"Creasy, Stella",BEIS,1
"Creasy, Stella",DeXEU,2
"Creasy, Stella",DfE,2
"Creasy, Stella",DHSC,10
"Creasy, Stella",FCO,2
"Creasy, Stella",Home Office,3
"Creasy, Stella",MHCLG,2
"Creasy, Stella",Minister for Women and Equalities,4
"Creasy, Stella",Northern Ireland Office,3
"Creasy, Stella",Prime Minister,3
"Creasy, Stella",Treasury,2
"Crouch, Tracey",Department for Transport,1
"Crouch, Tracey",DfE,1
"Crouch, Tracey",DHSC,3
"Crouch, Tracey",Home Office,1
"Crouch, Tracey",Ministry of Justice,1
"Crouch, Tracey",Prime Minister,1
"Cryer, John",BEIS,5
"Cryer, John",Cabinet Office,1
"Cryer, John",DCLG,1
"Cryer, John",DEFRA,1
"Cryer, John",Department of Health,2
"Cryer, John",DfE,4
"Cryer, John",DfID,1
"Cryer, John",DHSC,3
"Cryer, John",DWP,3
"Cryer, John",FCO,5
"Cryer, John",Home Office,7
"Cryer, John",MHCLG,1
"Cryer, John",Minister for Women and Equalities,1
"Cryer, John",Ministry of Defence,6
"Cryer, John",Ministry of Justice,3
"Cryer, John",Treasury,5
"Cummins, Judith",BEIS,2
"Cummins, Judith",DDCMS,2
"Cummins, Judith",Department for Transport,8
"Cummins, Judith",DfE,7
"Cummins, Judith",DHSC,6
"Cummins, Judith",DIT,12
"Cummins, Judith",Home Office,1
"Cummins, Judith",MHCLG,2
"Cummins, Judith",Ministry of Defence,2
"Cummins, Judith",Ministry of Justice,3
"Cummins, Judith",Prime Minister,3
"Cummins, Judith",Treasury,2
"Cunningham, Alex",Attorney General,2
"Cunningham, Alex",BEIS,2
"Cunningham, Alex",Cabinet Office,6
"Cunningham, Alex",DCMS,2
"Cunningham, Alex",DEFRA,2
"Cunningham, Alex",Department for Transport,6
"Cunningham, Alex",DeXEU,14
"Cunningham, Alex",DfE,4
"Cunningham, Alex",DfID,3
"Cunningham, Alex",DHSC,2
"Cunningham, Alex",DIT,4
"Cunningham, Alex",DWP,10
"Cunningham, Alex",FCO,10
"Cunningham, Alex",Home Office,2
"Cunningham, Alex",MHCLG,7
"Cunningham, Alex",Ministry of Defence,5
"Cunningham, Alex",Ministry of Justice,10
"Cunningham, Alex",Northern Ireland Office,2
"Cunningham, Alex",Prime Minister,12
"Cunningham, Alex",Wales Office,2
"Cunningham, Jim",Attorney General,2
"Cunningham, Jim",BEIS,8
"Cunningham, Jim",Cabinet Office,4
"Cunningham, Jim",DCLG,1
"Cunningham, Jim",DCMS,2
"Cunningham, Jim",DDCMS,9
"Cunningham, Jim",DEFRA,4
"Cunningham, Jim",Department for Transport,11
"Cunningham, Jim",Department of Health,4
"Cunningham, Jim",DeXEU,8
"Cunningham, Jim",DfE,13
"Cunningham, Jim",DfID,6
"Cunningham, Jim",DHSC,6
"Cunningham, Jim",DIT,6
"Cunningham, Jim",DWP,7
"Cunningham, Jim",FCO,13
"Cunningham, Jim",Home Office,8
"Cunningham, Jim",MHCLG,6
"Cunningham, Jim",Minister for Women and Equalities,7
"Cunningham, Jim",Ministry of Defence,9
"Cunningham, Jim",Ministry of Justice,16
"Cunningham, Jim",Prime Minister,5
"Cunningham, Jim",Treasury,10
"Cunningham, Jim",Wales Office,3
"Daby, Janet",BEIS,2
"Daby, Janet",DDCMS,2
"Daby, Janet",DeXEU,4
"Daby, Janet",DfE,1
"Daby, Janet",DWP,1
"Daby, Janet",Home Office,3
"Daby, Janet",MHCLG,2
"Daby, Janet",Minister for Women and Equalities,1
"Daby, Janet",Ministry of Justice,7
"Daby, Janet",Prime Minister,2
"Daby, Janet",Treasury,6
"Daby, Janet",Wales Office,1
"Dakin, Nic",BEIS,2
"Dakin, Nic",Cabinet Office,3
"Dakin, Nic",DDCMS,2
"Dakin, Nic",DEFRA,5
"Dakin, Nic",Department for Transport,8
"Dakin, Nic",Department of Health,2
"Dakin, Nic",DeXEU,10
"Dakin, Nic",DfE,17
"Dakin, Nic",DHSC,6
"Dakin, Nic",DIT,5
"Dakin, Nic",DWP,4
"Dakin, Nic",FCO,2
"Dakin, Nic",MHCLG,5
"Dakin, Nic",Minister for Women and Equalities,2
"Dakin, Nic",Ministry of Defence,1
"Dakin, Nic",Ministry of Justice,4
"Dakin, Nic",Northern Ireland Office,1
"Dakin, Nic",Prime Minister,5
"Dakin, Nic",Treasury,7
"Dakin, Nic",Wales Office,4
"Davey, Edward",BEIS,10
"Davey, Edward",DfE,1
"Davey, Edward",Home Office,17
"Davey, Edward",Ministry of Justice,9
"Davey, Edward",Prime Minister,2
"Davey, Edward",Treasury,1
"David, Wayne",Church Commissioners,2
"David, Wayne",DeXEU,2
"David, Wayne",Electoral Commission,1
"David, Wayne",MHCLG,2
"David, Wayne",Ministry of Defence,16
"David, Wayne",Prime Minister,8
"David, Wayne",Wales Office,8
"Davies, Chris",Attorney General,1
"Davies, Chris",BEIS,2
"Davies, Chris",Cabinet Office,8
"Davies, Chris",Church Commissioners,5
"Davies, Chris",DCLG,2
"Davies, Chris",DDCMS,6
"Davies, Chris",DEFRA,10
"Davies, Chris",Department for Transport,4
"Davies, Chris",DeXEU,8
"Davies, Chris",DfE,3
"Davies, Chris",DHSC,1
"Davies, Chris",DIT,8
"Davies, Chris",FCO,6
"Davies, Chris",Home Office,2
"Davies, Chris",MHCLG,2
"Davies, Chris",Minister for Women and Equalities,6
"Davies, Chris",Ministry of Defence,2
"Davies, Chris",Northern Ireland Office,2
"Davies, Chris",Prime Minister,6
"Davies, Chris",Scotland Office,4
"Davies, Chris",Treasury,4
"Davies, Chris",Wales Office,3
"Davies, David TC",BEIS,3
"Davies, David TC",Cabinet Office,3
"Davies, David TC",DEFRA,6
"Davies, David TC",Department of Health,2
"Davies, David TC",DeXEU,4
"Davies, David TC",DfE,2
"Davies, David TC",DfID,4
"Davies, David TC",DIT,2
"Davies, David TC",DWP,4
"Davies, David TC",FCO,6
"Davies, David TC",Home Office,5
"Davies, David TC",MHCLG,2
"Davies, David TC",Ministry of Defence,4
"Davies, David TC",Ministry of Justice,6
"Davies, David TC",Prime Minister,10
"Davies, David TC",Scotland Office,4
"Davies, David TC",Treasury,4
"Davies, David TC",Wales Office,18
"Davies, Geraint",BEIS,6
"Davies, Geraint",DEFRA,2
"Davies, Geraint",DfID,1
"Davies, Geraint",DIT,1
"Davies, Geraint",DWP,2
"Davies, Geraint",FCO,2
"Davies, Geraint",Minister for Women and Equalities,1
"Davies, Geraint",Northern Ireland Office,1
"Davies, Geraint",Prime Minister,2
"Davies, Geraint",Treasury,4
"Davies, Geraint",Wales Office,13
"Davies, Glyn",BEIS,2
"Davies, Glyn",DDCMS,2
"Davies, Glyn",DeXEU,2
"Davies, Glyn",DHSC,2
"Davies, Glyn",Ministry of Justice,2
"Davies, Glyn",Prime Minister,4
"Davies, Glyn",Wales Office,3
"Davies, Mims",Attorney General,3
"Davies, Mims",BEIS,1
"Davies, Mims",Cabinet Office,1
"Davies, Mims",DDCMS,2
"Davies, Mims",DEFRA,1
"Davies, Mims",Department for Transport,3
"Davies, Mims",Department of Health,2
"Davies, Mims",DeXEU,4
"Davies, Mims",DfE,1
"Davies, Mims",DfID,2
"Davies, Mims",DHSC,2
"Davies, Mims",DWP,2
"Davies, Mims",Minister for Women and Equalities,3
"Davies, Mims",Northern Ireland Office,1
"Davies, Mims",Prime Minister,5
"Davies, Mims",Scotland Office,2
"Davies, Mims",Treasury,2
"Davies, Mims",Wales Office,1
"Davies, Philip",Attorney General,6
"Davies, Philip",BEIS,1
"Davies, Philip",DCLG,1
"Davies, Philip",DCMS,1
"Davies, Philip",DDCMS,6
"Davies, Philip",DEFRA,2
"Davies, Philip",Department for Transport,13
"Davies, Philip",DfE,8
"Davies, Philip",DHSC,2
"Davies, Philip",DIT,2
"Davies, Philip",DWP,9
"Davies, Philip",Home Office,8
"Davies, Philip",MHCLG,4
"Davies, Philip",Minister for Women and Equalities,5
